nct_id,brief_title,overall_status
NCT01247480,Analysis of Prognostic and Predictive Genomic Signatures Using Archival Paraffin-embedded Tumor Specimens in Breast Cancer,UNKNOWN
NCT03504488,CAB-ROR2-ADC Safety and Efficacy Study in Patients With TNBC or Head & Neck Cancer (Ph1) and NSCLC or Melanoma (Ph2),COMPLETED
NCT05243056,A Quality of Life Intervention for Young African American Breast Cancer Survivors in Treatment,RECRUITING
NCT00128856,"Gemcitabine, Doxorubicin and Paclitaxel (GAT) as Neoadjuvant Treatment of Breast Cancer Patients",COMPLETED
NCT01876251,A Study Evaluating The PF-03084014 In Combination With Docetaxel In Patients With Advanced Breast Cancer,TERMINATED
NCT05775822,Coronary Artery Calcium and Cardiovascular Risk Factors Analysis After RT or Breast Cancer,COMPLETED
NCT01138345,Biomarkers in Blood Samples From Older Breast Cancer Survivors,COMPLETED
NCT01134172,"Ethnic Differences in the Impact of Breast Cancer on Employment Status, Financial Situation, and Quality of Life",ACTIVE_NOT_RECRUITING
NCT02812277,Retrospective Analysis of Effectiveness and Safety Profile of Anastrozole and Letrozole in HR+ Breast Cancer Patients,UNKNOWN
NCT03936075,Guided Imagery & Music in Cancer,UNKNOWN
NCT00859157,"Pain After Tumescent Mastectomy or Standard Mastectomy in Women With Stage I, Stage II, or Stage III Breast Cancer",COMPLETED
NCT01133912,"Preoperative Chemotherapy With Paclitaxel, Gemcitabine, and Lapatinib (Tykerb®) (PGT)",COMPLETED
NCT05907681,Prospective Observational Study on Outcome of High-precision Hypo-fractionated Radiotherapy in Metastatic Breast Cancer (PRECISE-M),RECRUITING
NCT01745367,Tivozanib in Combination With Paclitaxel in Patients With Locally Recurrent or Metastatic Triple Negative Breast Cancer,TERMINATED
NCT03018080,Pilot Study of Paclitaxel Plus Pembrolizumab in Metastatic HER2-Negative Breast Cancer,COMPLETED
NCT01356862,Pasireotide LAR Administration in Lymphocele Prevention After Axillary Node Dissection for Breast Cancer,COMPLETED
NCT00234403,A Trial to Evaluate the Combination of Iressa & Faslodex® in Patients With Advanced or Metastatic Breast Cancer,COMPLETED
NCT01920061,A Study Of PF-05212384 In Combination With Other Anti-Tumor Agents and in Combination With Cisplatin in Patients With Triple Negative Breast Cancer in an Expansion Arm (TNBC),COMPLETED
NCT05650086,Novel Thermal Imaging Technique for Breast Screening,TERMINATED
NCT05489354,mHealth Usage Among Nigeria Women Diagnosed With Breast Cancer Receiving Chemotherapy,COMPLETED
NCT04666805,Effect of Endocrine Therapy Duration on Clinical Outcome of Patients With HR+ Intraductal Carcinoma of the Breast,UNKNOWN
NCT05673629,Utidelone in Combination With AC Versus Docetaxel in Combination With AC for Neoadjuvant Chemotherapy in Patients With HER2-negative Breast Cancer,UNKNOWN
NCT05888831,A Study of BMS-986449 With and Without Nivolumab in Participants With Advanced Solid Tumors,ACTIVE_NOT_RECRUITING
NCT07134153,Phase I/II Study of Intrathecal/Ommaya T-DXd in HER2-Expressing Breast Cancer With Leptomeningeal/Brain Metastases,RECRUITING
NCT01219075,Soy Isoflavones Supplementation in Treating Women at High Risk For or With Breast Cancer,COMPLETED
